Injury_Intent,State,Year,Total_Deaths
Firearm Suicide,Illinois,2020,543.0
Firearm Suicide,Indiana,2011,411.0
Firearm Suicide,Indiana,2012,513.0
Firearm Suicide,Indiana,2013,523.0
Firearm Suicide,Indiana,2014,528.0
Firearm Suicide,Indiana,2015,517.0
Firearm Suicide,Indiana,2016,591.0
Firearm Suicide,Indiana,2017,604.0
Firearm Suicide,Indiana,2018,588.0
Firearm Suicide,Indiana,2019,570.0
Firearm Suicide,Indiana,2020,609.0
Firearm Suicide,Iowa,2011,185.0
Firearm Suicide,Iowa,2012,175.0
Firearm Suicide,Iowa,2013,221.0
Firearm Suicide,Iowa,2014,194.0
Firearm Suicide,Iowa,2015,193.0
Firearm Suicide,Iowa,2016,228.0
Firearm Suicide,Iowa,2017,222.0
Firearm Suicide,Iowa,2018,231.0
Firearm Suicide,Iowa,2019,233.0
Firearm Suicide,Iowa,2020,260.0
Firearm Suicide,Kansas,2011,233.0
Firearm Suicide,Kansas,2012,297.0
Firearm Suicide,Kansas,2013,241.0
Firearm Suicide,Kansas,2014,238.0
Firearm Suicide,Kansas,2015,224.0
Firearm Suicide,Kansas,2016,257.0
Firearm Suicide,Kansas,2017,316.0
Firearm Suicide,Kansas,2018,292.0
Firearm Suicide,Kansas,2019,291.0
Firearm Suicide,Kansas,2020,314.0
Firearm Suicide,Kentucky,2011,453.0
Firearm Suicide,Kentucky,2012,469.0
Firearm Suicide,Kentucky,2013,453.0
Firearm Suicide,Kentucky,2014,470.0
Firearm Suicide,Kentucky,2015,499.0
Firearm Suicide,Kentucky,2016,495.0
Firearm Suicide,Kentucky,2017,470.0
Firearm Suicide,Kentucky,2018,509.0
Firearm Suicide,Kentucky,2019,445.0
Firearm Suicide,Kentucky,2020,518.0
Firearm Suicide,Louisiana,2011,377.0
Firearm Suicide,Louisiana,2012,375.0
Firearm Suicide,Louisiana,2013,408.0
Firearm Suicide,Louisiana,2014,444.0
Firearm Suicide,Louisiana,2015,468.0
Firearm Suicide,Louisiana,2016,440.0
Firearm Suicide,Louisiana,2017,444.0
Firearm Suicide,Louisiana,2018,467.0
Firearm Suicide,Louisiana,2019,446.0
Firearm Suicide,Louisiana,2020,406.0
Firearm Suicide,Maine,2011,113.0
Firearm Suicide,Maine,2012,112.0
Firearm Suicide,Maine,2013,137.0
Firearm Suicide,Maine,2014,116.0
Firearm Suicide,Maine,2015,128.0
Firearm Suicide,Maine,2016,112.0
Firearm Suicide,Maine,2017,151.0
Firearm Suicide,Maine,2018,147.0
Firearm Suicide,Maine,2019,144.0
Firearm Suicide,Maine,2020,132.0
Firearm Suicide,Maryland,2011,242.0
Firearm Suicide,Maryland,2012,272.0
Firearm Suicide,Maryland,2013,257.0
Firearm Suicide,Maryland,2014,277.0
Firearm Suicide,Maryland,2015,244.0
Firearm Suicide,Maryland,2016,251.0
Firearm Suicide,Maryland,2017,271.0
Firearm Suicide,Maryland,2018,266.0
Firearm Suicide,Maryland,2019,268.0
Firearm Suicide,Maryland,2020,267.0
Firearm Suicide,Massachusetts,2011,116.0
Firearm Suicide,Massachusetts,2012,151.0
Firearm Suicide,Massachusetts,2013,112.0
Firearm Suicide,Massachusetts,2014,130.0
Firearm Suicide,Massachusetts,2015,118.0
Firearm Suicide,Massachusetts,2016,140.0
Firearm Suicide,Massachusetts,2017,152.0
Firearm Suicide,Massachusetts,2018,148.0
Firearm Suicide,Massachusetts,2019,142.0
Firearm Suicide,Massachusetts,2020,134.0
Firearm Suicide,Michigan,2011,619.0
Firearm Suicide,Michigan,2012,623.0
Firearm Suicide,Michigan,2013,674.0
Firearm Suicide,Michigan,2014,671.0
Firearm Suicide,Michigan,2015,692.0
Firearm Suicide,Michigan,2016,717.0
Firearm Suicide,Michigan,2017,682.0
Firearm Suicide,Michigan,2018,806.0
Firearm Suicide,Michigan,2019,742.0
Firearm Suicide,Michigan,2020,761.0
Firearm Suicide,Minnesota,2011,322.0
Firearm Suicide,Minnesota,2012,310.0
Firearm Suicide,Minnesota,2013,339.0
Firearm Suicide,Minnesota,2014,308.0
Firearm Suicide,Minnesota,2015,304.0
Firearm Suicide,Minnesota,2016,332.0
Firearm Suicide,Minnesota,2017,365.0
Firearm Suicide,Minnesota,2018,356.0
Firearm Suicide,Minnesota,2019,350.0
Firearm Suicide,Minnesota,2020,354.0
Firearm Suicide,Mississippi,2011,268.0
Firearm Suicide,Mississippi,2012,296.0
Firearm Suicide,Mississippi,2013,279.0
Firearm Suicide,Mississippi,2014,251.0
Firearm Suicide,Mississippi,2015,292.0
Firearm Suicide,Mississippi,2016,268.0
Firearm Suicide,Mississippi,2017,295.0
Firearm Suicide,Mississippi,2018,313.0
Firearm Suicide,Mississippi,2019,308.0
Firearm Suicide,Mississippi,2020,278.0
Firearm Suicide,Missouri,2011,513.0
Firearm Suicide,Missouri,2012,546.0
Firearm Suicide,Missouri,2013,556.0
Firearm Suicide,Missouri,2014,588.0
Firearm Suicide,Missouri,2015,605.0
Firearm Suicide,Missouri,2016,650.0
Firearm Suicide,Missouri,2017,701.0
Firearm Suicide,Missouri,2018,726.0
Firearm Suicide,Missouri,2019,681.0
Firearm Suicide,Missouri,2020,704.0
Firearm Suicide,Montana,2011,152.0
Firearm Suicide,Montana,2012,153.0
Firearm Suicide,Montana,2013,147.0
Firearm Suicide,Montana,2014,149.0
Firearm Suicide,Montana,2015,174.0
Firearm Suicide,Montana,2016,162.0
Firearm Suicide,Montana,2017,213.0
Firearm Suicide,Montana,2018,160.0
Firearm Suicide,Montana,2019,172.0
Firearm Suicide,Montana,2020,189.0
Firearm Suicide,Nebraska,2011,111.0
Firearm Suicide,Nebraska,2012,115.0
Firearm Suicide,Nebraska,2013,111.0
Firearm Suicide,Nebraska,2014,133.0
Firearm Suicide,Nebraska,2015,114.0
Firearm Suicide,Nebraska,2016,116.0
Firearm Suicide,Nebraska,2017,126.0
Firearm Suicide,Nebraska,2018,145.0
Firearm Suicide,Nebraska,2019,154.0
Firearm Suicide,Nebraska,2020,139.0
Firearm Suicide,Nevada,2011,272.0
Firearm Suicide,Nevada,2012,274.0
Firearm Suicide,Nevada,2013,292.0
Firearm Suicide,Nevada,2014,309.0
Firearm Suicide,Nevada,2015,293.0
Firearm Suicide,Nevada,2016,334.0
Firearm Suicide,Nevada,2017,329.0
Firearm Suicide,Nevada,2018,367.0
Firearm Suicide,Nevada,2019,354.0
Firearm Suicide,Nevada,2020,372.0
Firearm Suicide,New Hampshire,2011,75.0
Firearm Suicide,New Hampshire,2012,98.0
Firearm Suicide,New Hampshire,2013,81.0
Firearm Suicide,New Hampshire,2014,110.0
Firearm Suicide,New Hampshire,2015,107.0
Firearm Suicide,New Hampshire,2016,123.0
Firearm Suicide,New Hampshire,2017,132.0
Firearm Suicide,New Hampshire,2018,135.0
Firearm Suicide,New Hampshire,2019,132.0
Firearm Suicide,New Hampshire,2020,118.0
Firearm Suicide,New Jersey,2011,181.0
Firearm Suicide,New Jersey,2012,160.0
Firearm Suicide,New Jersey,2013,194.0
Firearm Suicide,New Jersey,2014,194.0
Firearm Suicide,New Jersey,2015,189.0
Firearm Suicide,New Jersey,2016,176.0
Firearm Suicide,New Jersey,2017,204.0
Firearm Suicide,New Jersey,2018,193.0
Firearm Suicide,New Jersey,2019,173.0
Firearm Suicide,New Jersey,2020,181.0
Firearm Suicide,New Mexico,2011,221.0
Firearm Suicide,New Mexico,2012,230.0
Firearm Suicide,New Mexico,2013,222.0
Firearm Suicide,New Mexico,2014,244.0
Firearm Suicide,New Mexico,2015,275.0
Firearm Suicide,New Mexico,2016,243.0
Firearm Suicide,New Mexico,2017,261.0
Firearm Suicide,New Mexico,2018,281.0
Firearm Suicide,New Mexico,2019,284.0
Firearm Suicide,New Mexico,2020,303.0
Firearm Suicide,New York,2011,505.0
Firearm Suicide,New York,2012,516.0
Firearm Suicide,New York,2013,465.0
Firearm Suicide,New York,2014,474.0
Firearm Suicide,New York,2015,421.0
Firearm Suicide,New York,2016,490.0
Firearm Suicide,New York,2017,433.0
Firearm Suicide,New York,2018,445.0
Firearm Suicide,New York,2019,455.0
Firearm Suicide,New York,2020,462.0
Firearm Suicide,North Carolina,2011,728.0
Firearm Suicide,North Carolina,2012,709.0
Firearm Suicide,North Carolina,2013,771.0
Firearm Suicide,North Carolina,2014,760.0
Firearm Suicide,North Carolina,2015,787.0
Firearm Suicide,North Carolina,2016,788.0
Firearm Suicide,North Carolina,2017,840.0
Firearm Suicide,North Carolina,2018,873.0
Firearm Suicide,North Carolina,2019,781.0
Firearm Suicide,North Carolina,2020,879.0
Firearm Suicide,North Dakota,2011,51.0
Firearm Suicide,North Dakota,2012,63.0
Firearm Suicide,North Dakota,2013,76.0
Firearm Suicide,North Dakota,2014,85.0
Firearm Suicide,North Dakota,2015,76.0
Firearm Suicide,North Dakota,2016,75.0
Firearm Suicide,North Dakota,2017,93.0
Firearm Suicide,North Dakota,2018,75.0
Firearm Suicide,North Dakota,2019,79.0
Firearm Suicide,North Dakota,2020,77.0
Firearm Suicide,Ohio,2011,726.0
Firearm Suicide,Ohio,2012,784.0
Firearm Suicide,Ohio,2013,800.0
Firearm Suicide,Ohio,2014,744.0
Firearm Suicide,Ohio,2015,861.0
Firearm Suicide,Ohio,2016,926.0
Firearm Suicide,Ohio,2017,918.0
Firearm Suicide,Ohio,2018,962.0
Firearm Suicide,Ohio,2019,980.0
Firearm Suicide,Ohio,2020,903.0
Firearm Suicide,Oklahoma,2011,440.0
Firearm Suicide,Oklahoma,2012,411.0
Firearm Suicide,Oklahoma,2013,433.0
Firearm Suicide,Oklahoma,2014,435.0
Firearm Suicide,Oklahoma,2015,468.0
Firearm Suicide,Oklahoma,2016,517.0
Firearm Suicide,Oklahoma,2017,439.0
Firearm Suicide,Oklahoma,2018,465.0
Firearm Suicide,Oklahoma,2019,473.0
Firearm Suicide,Oklahoma,2020,538.0
Firearm Suicide,Oregon,2011,343.0
Firearm Suicide,Oregon,2012,367.0
Firearm Suicide,Oregon,2013,389.0
Firearm Suicide,Oregon,2014,422.0
Firearm Suicide,Oregon,2015,373.0
Firearm Suicide,Oregon,2016,414.0
Firearm Suicide,Oregon,2017,439.0
Firearm Suicide,Oregon,2018,427.0
Firearm Suicide,Oregon,2019,466.0
Firearm Suicide,Oregon,2020,454.0
Firearm Suicide,Pennsylvania,2011,883.0
Firearm Suicide,Pennsylvania,2012,819.0
Firearm Suicide,Pennsylvania,2013,918.0
Firearm Suicide,Pennsylvania,2014,897.0
Firearm Suicide,Pennsylvania,2015,932.0
Firearm Suicide,Pennsylvania,2016,976.0
Firearm Suicide,Pennsylvania,2017,993.0
Firearm Suicide,Pennsylvania,2018,1025.0
Firearm Suicide,Pennsylvania,2019,964.0
Firearm Suicide,Pennsylvania,2020,919.0
Firearm Suicide,Rhode Island,2011,20.0
Firearm Suicide,Rhode Island,2012,26.0
Firearm Suicide,Rhode Island,2013,34.0
Firearm Suicide,Rhode Island,2014,20.0
Firearm Suicide,Rhode Island,2015,40.0
Firearm Suicide,Rhode Island,2016,35.0
Firearm Suicide,Rhode Island,2017,33.0
Firearm Suicide,Rhode Island,2018,23.0
Firearm Suicide,Rhode Island,2019,33.0
Firearm Suicide,Rhode Island,2020,30.0
Firearm Suicide,South Carolina,2011,426.0
Firearm Suicide,South Carolina,2012,433.0
Firearm Suicide,South Carolina,2013,470.0
Firearm Suicide,South Carolina,2014,479.0
Firearm Suicide,South Carolina,2015,469.0
Firearm Suicide,South Carolina,2016,525.0
Firearm Suicide,South Carolina,2017,531.0
Firearm Suicide,South Carolina,2018,493.0
Firearm Suicide,South Carolina,2019,532.0
Firearm Suicide,South Carolina,2020,565.0
Firearm Suicide,South Dakota,2011,60.0
Firearm Suicide,South Dakota,2012,76.0
Firearm Suicide,South Dakota,2013,71.0
Firearm Suicide,South Dakota,2014,76.0
Firearm Suicide,South Dakota,2015,73.0
Firearm Suicide,South Dakota,2016,84.0
Firearm Suicide,South Dakota,2017,83.0
Firearm Suicide,South Dakota,2018,91.0
Firearm Suicide,South Dakota,2019,98.0
Firearm Suicide,South Dakota,2020,88.0
Firearm Suicide,Tennessee,2011,591.0
Firearm Suicide,Tennessee,2012,626.0
Firearm Suicide,Tennessee,2013,676.0
Firearm Suicide,Tennessee,2014,644.0
Firearm Suicide,Tennessee,2015,638.0
Firearm Suicide,Tennessee,2016,675.0
Firearm Suicide,Tennessee,2017,711.0
Firearm Suicide,Tennessee,2018,690.0
Firearm Suicide,Tennessee,2019,746.0
Firearm Suicide,Tennessee,2020,767.0
Firearm Suicide,Texas,2011,1684.0
Firearm Suicide,Texas,2012,1744.0
Firearm Suicide,Texas,2013,1780.0
Firearm Suicide,Texas,2014,1789.0
Firearm Suicide,Texas,2015,1994.0
Firearm Suicide,Texas,2016,2016.0
Firearm Suicide,Texas,2017,2158.0
Firearm Suicide,Texas,2018,2263.0
Firearm Suicide,Texas,2019,2237.0
Firearm Suicide,Texas,2020,2287.0
Firearm Suicide,United States,2011,19990.0
Firearm Suicide,United States,2012,20666.0
Firearm Suicide,United States,2013,21175.0
Firearm Suicide,United States,2014,21386.0
Firearm Suicide,United States,2015,22018.0
Firearm Suicide,United States,2016,22938.0
Firearm Suicide,United States,2017,23854.0
Firearm Suicide,United States,2018,24432.0
Firearm Suicide,United States,2019,23941.0
Firearm Suicide,United States,2020,24292.0
Firearm Suicide,Utah,2011,268.0
Firearm Suicide,Utah,2012,283.0
Firearm Suicide,Utah,2013,295.0
Firearm Suicide,Utah,2014,278.0
Firearm Suicide,Utah,2015,313.0
Firearm Suicide,Utah,2016,309.0
Firearm Suicide,Utah,2017,344.0
Firearm Suicide,Utah,2018,339.0
Firearm Suicide,Utah,2019,329.0
Firearm Suicide,Utah,2020,339.0
Firearm Suicide,Vermont,2011,70.0
Firearm Suicide,Vermont,2012,50.0
Firearm Suicide,Vermont,2013,59.0
Firearm Suicide,Vermont,2014,59.0
Firearm Suicide,Vermont,2015,59.0
Firearm Suicide,Vermont,2016,69.0
Firearm Suicide,Vermont,2017,62.0
Firearm Suicide,Vermont,2018,70.0
Firearm Suicide,Vermont,2019,59.0
Firearm Suicide,Vermont,2020,69.0
Firearm Suicide,Virginia,2011,604.0
Firearm Suicide,Virginia,2012,587.0
Firearm Suicide,Virginia,2013,601.0
Firearm Suicide,Virginia,2014,626.0
Firearm Suicide,Virginia,2015,630.0
Firearm Suicide,Virginia,2016,671.0
Firearm Suicide,Virginia,2017,672.0
Firearm Suicide,Virginia,2018,679.0
Firearm Suicide,Virginia,2019,661.0
Firearm Suicide,Virginia,2020,697.0
Firearm Suicide,Washington,2011,495.0
Firearm Suicide,Washington,2012,529.0
Firearm Suicide,Washington,2013,483.0
Firearm Suicide,Washington,2014,551.0
Firearm Suicide,Washington,2015,537.0
Firearm Suicide,Washington,2016,515.0
Firearm Suicide,Washington,2017,639.0
Firearm Suicide,Washington,2018,599.0
Firearm Suicide,Washington,2019,637.0
Firearm Suicide,Washington,2020,618.0
Firearm Suicide,West Virginia,2011,200.0
Firearm Suicide,West Virginia,2012,198.0
Firearm Suicide,West Virginia,2013,225.0
Firearm Suicide,West Virginia,2014,217.0
Firearm Suicide,West Virginia,2015,215.0
Firearm Suicide,West Virginia,2016,238.0
Firearm Suicide,West Virginia,2017,267.0
Firearm Suicide,West Virginia,2018,257.0
Firearm Suicide,West Virginia,2019,196.0
Firearm Suicide,West Virginia,2020,220.0
Firearm Suicide,Wisconsin,2011,351.0
Firearm Suicide,Wisconsin,2012,348.0
Firearm Suicide,Wisconsin,2013,437.0
Firearm Suicide,Wisconsin,2014,352.0
Firearm Suicide,Wisconsin,2015,424.0
Firearm Suicide,Wisconsin,2016,455.0
Firearm Suicide,Wisconsin,2017,435.0
Firearm Suicide,Wisconsin,2018,420.0
Firearm Suicide,Wisconsin,2019,427.0
Firearm Suicide,Wisconsin,2020,442.0
Firearm Suicide,Wyoming,2011,84.0
Firearm Suicide,Wyoming,2012,102.0
Firearm Suicide,Wyoming,2013,89.0
Firearm Suicide,Wyoming,2014,78.0
Firearm Suicide,Wyoming,2015,95.0
Firearm Suicide,Wyoming,2016,87.0
Firearm Suicide,Wyoming,2017,99.0
Firearm Suicide,Wyoming,2018,108.0
Firearm Suicide,Wyoming,2019,114.0
Firearm Suicide,Wyoming,2020,128.0
