State,Year,Injury_Intent,Total_Deaths,Population,"Age-adjusted Rate (per 100,000)"
Delaware,2015,Firearm Homicide (including Legal Intervention),55,945934,6.34827
Delaware,2016,All Firearm Deaths,111,952065,10.963549613952637
Delaware,2016,Firearm Suicide,65,952065,5.84624
Delaware,2016,Firearm Homicide (including Legal Intervention),44,952065,4.97063
Delaware,2017,All Firearm Deaths,111,961939,11.664719581604004
Delaware,2017,Firearm Suicide,50,961939,4.94498
Delaware,2017,Firearm Homicide (including Legal Intervention),60,961939,6.6019
Delaware,2018,All Firearm Deaths,107,967171,11.58938980102539
Delaware,2018,Firearm Suicide,58,967171,5.74684
Delaware,2018,Firearm Homicide (including Legal Intervention),46,967171,5.54652
Delaware,2019,All Firearm Deaths,93,973764,9.928370475769043
Delaware,2019,Firearm Suicide,45,973764,4.35264
Delaware,2019,Firearm Homicide (including Legal Intervention),47,973764,5.48076
Delaware,2020,All Firearm Deaths,135,986809,14.400469779968262
Delaware,2020,Firearm Suicide,58,986809,5.63812
Delaware,2020,Firearm Homicide (including Legal Intervention),77,986809,8.7769
District of Columbia,2011,All Firearm Deaths,86,617996,11.829779624938965
District of Columbia,2011,Firearm Suicide,,617996,
District of Columbia,2011,Firearm Homicide (including Legal Intervention),79,617996,10.673
District of Columbia,2012,All Firearm Deaths,68,632323,9.397680282592773
District of Columbia,2012,Firearm Suicide,10,632323,
District of Columbia,2012,Firearm Homicide (including Legal Intervention),58,632323,7.75449
District of Columbia,2013,All Firearm Deaths,71,646449,8.853010177612305
District of Columbia,2013,Firearm Suicide,,646449,
District of Columbia,2013,Firearm Homicide (including Legal Intervention),65,646449,7.97202
District of Columbia,2014,All Firearm Deaths,86,658893,11.659370422363281
District of Columbia,2014,Firearm Suicide,14,658893,
District of Columbia,2014,Firearm Homicide (including Legal Intervention),72,658893,9.69338
District of Columbia,2015,All Firearm Deaths,120,672228,15.199029922485352
District of Columbia,2015,Firearm Suicide,11,672228,
District of Columbia,2015,Firearm Homicide (including Legal Intervention),109,672228,13.71662
District of Columbia,2016,All Firearm Deaths,107,681170,13.847049713134766
District of Columbia,2016,Firearm Suicide,,681170,
District of Columbia,2016,Firearm Homicide (including Legal Intervention),102,681170,13.21763
District of Columbia,2017,All Firearm Deaths,100,693972,13.103560447692871
District of Columbia,2017,Firearm Suicide,,693972,
District of Columbia,2017,Firearm Homicide (including Legal Intervention),91,693972,11.82422
District of Columbia,2018,All Firearm Deaths,125,702455,16.72076988220215
District of Columbia,2018,Firearm Suicide,,702455,
District of Columbia,2018,Firearm Homicide (including Legal Intervention),116,702455,15.5938
District of Columbia,2019,All Firearm Deaths,141,705749,18.329559326171875
District of Columbia,2019,Firearm Suicide,12,705749,
District of Columbia,2019,Firearm Homicide (including Legal Intervention),129,705749,16.71325
District of Columbia,2020,All Firearm Deaths,167,712816,21.937570571899414
District of Columbia,2020,Firearm Suicide,,712816,
District of Columbia,2020,Firearm Homicide (including Legal Intervention),158,712816,20.50622
Florida,2011,All Firearm Deaths,2378,19057542,11.968119621276855
Florida,2011,Firearm Suicide,1490,19057542,7.01457
Florida,2011,Firearm Homicide (including Legal Intervention),840,19057542,4.7047
Florida,2012,All Firearm Deaths,2473,19317568,12.186479568481445
Florida,2012,Firearm Suicide,1550,19317568,7.13579
Florida,2012,Firearm Homicide (including Legal Intervention),886,19317568,4.85675
Florida,2013,All Firearm Deaths,2442,19552860,11.928150177001953
Florida,2013,Firearm Suicide,1566,19552860,7.13189
Florida,2013,Firearm Homicide (including Legal Intervention),843,19552860,4.62578
Florida,2014,All Firearm Deaths,2410,19893297,11.542670249938965
Florida,2014,Firearm Suicide,1538,19893297,6.82268
Florida,2014,Firearm Homicide (including Legal Intervention),841,19893297,4.58558
Florida,2015,All Firearm Deaths,2559,20271272,12.00613021850586
Florida,2015,Firearm Suicide,1630,20271272,7.06913
Florida,2015,Firearm Homicide (including Legal Intervention),896,20271272,4.7971
Florida,2016,All Firearm Deaths,2704,20612439,12.619680404663086
Florida,2016,Firearm Suicide,1672,20612439,7.09855
Florida,2016,Firearm Homicide (including Legal Intervention),1006,20612439,5.40112
Florida,2017,All Firearm Deaths,2724,20984400,12.374500274658203
Florida,2017,Firearm Suicide,1723,20984400,7.15848
Florida,2017,Firearm Homicide (including Legal Intervention),965,20984400,5.00103
Florida,2018,All Firearm Deaths,2902,21299325,12.861780166625977
Florida,2018,Firearm Suicide,1869,21299325,7.58191
Florida,2018,Firearm Homicide (including Legal Intervention),1001,21299325,5.09678
Florida,2019,All Firearm Deaths,2872,21477737,12.69579029083252
Florida,2019,Firearm Suicide,1808,21477737,7.26815
Florida,2019,Firearm Homicide (including Legal Intervention),1038,21477737,5.33718
Florida,2020,All Firearm Deaths,3041,21733312,13.711580276489258
Florida,2020,Firearm Suicide,1730,21733312,6.94109
Florida,2020,Firearm Homicide (including Legal Intervention),1276,21733312,6.59958
Georgia,2011,All Firearm Deaths,1232,9815210,12.552169799804688
Georgia,2011,Firearm Suicide,742,9815210,7.53334
Georgia,2011,Firearm Homicide (including Legal Intervention),453,9815210,4.62406
Georgia,2012,All Firearm Deaths,1286,9919945,12.817859649658203
Georgia,2012,Firearm Suicide,750,9919945,7.4842
Georgia,2012,Firearm Homicide (including Legal Intervention),494,9919945,4.90927
Georgia,2013,All Firearm Deaths,1262,9992167,12.616029739379883
Georgia,2013,Firearm Suicide,747,9992167,7.41564
Georgia,2013,Firearm Homicide (including Legal Intervention),486,9992167,4.897
Georgia,2014,All Firearm Deaths,1391,10097343,13.689749717712402
Georgia,2014,Firearm Suicide,841,10097343,8.20561
Georgia,2014,Firearm Homicide (including Legal Intervention),516,10097343,5.1409
Georgia,2015,All Firearm Deaths,1448,10214860,14.118789672851562
Georgia,2015,Firearm Suicide,823,10214860,7.94215
Georgia,2015,Firearm Homicide (including Legal Intervention),600,10214860,5.94474
Georgia,2016,All Firearm Deaths,1571,10310371,15.019780158996582
Georgia,2016,Firearm Suicide,871,10310371,8.14729
Georgia,2016,Firearm Homicide (including Legal Intervention),667,10310371,6.55537
Georgia,2017,All Firearm Deaths,1623,10429379,15.448800086975098
Georgia,2017,Firearm Suicide,908,10429379,8.50581
Georgia,2017,Firearm Homicide (including Legal Intervention),686,10429379,6.67166
Georgia,2018,All Firearm Deaths,1680,10519475,15.731510162353516
Georgia,2018,Firearm Suicide,987,10519475,9.02665
Georgia,2018,Firearm Homicide (including Legal Intervention),669,10519475,6.47137
Georgia,2019,All Firearm Deaths,1695,10617423,15.797039985656738
Georgia,2019,Firearm Suicide,955,10617423,8.65257
Georgia,2019,Firearm Homicide (including Legal Intervention),704,10617423,6.7755
Georgia,2020,All Firearm Deaths,1897,10710017,17.713159561157227
Georgia,2020,Firearm Suicide,939,10710017,8.51568
Georgia,2020,Firearm Homicide (including Legal Intervention),922,10710017,8.86029
Hawaii,2011,All Firearm Deaths,49,1374810,3.4527199268341064
Hawaii,2011,Firearm Suicide,42,1374810,2.9489
Hawaii,2011,Firearm Homicide (including Legal Intervention),,1374810,
Hawaii,2012,All Firearm Deaths,51,1392313,3.355870008468628
Hawaii,2012,Firearm Suicide,43,1392313,2.79496
Hawaii,2012,Firearm Homicide (including Legal Intervention),,1392313,
Hawaii,2013,All Firearm Deaths,38,1404054,2.6233699321746826
Hawaii,2013,Firearm Suicide,28,1404054,1.87123
Hawaii,2013,Firearm Homicide (including Legal Intervention),,1404054,
Hawaii,2014,All Firearm Deaths,40,1419561,2.64667010307312
Hawaii,2014,Firearm Suicide,33,1419561,2.11352
Hawaii,2014,Firearm Homicide (including Legal Intervention),,1419561,
Hawaii,2015,All Firearm Deaths,55,1431603,3.570389986038208
Hawaii,2015,Firearm Suicide,44,1431603,2.78317
Hawaii,2015,Firearm Homicide (including Legal Intervention),,1431603,
Hawaii,2016,All Firearm Deaths,66,1428557,4.4811201095581055
Hawaii,2016,Firearm Suicide,37,1428557,2.42069
Hawaii,2016,Firearm Homicide (including Legal Intervention),26,1428557,1.88325
Hawaii,2017,All Firearm Deaths,39,1427538,2.458620071411133
Hawaii,2017,Firearm Suicide,30,1427538,1.84707
Hawaii,2017,Firearm Homicide (including Legal Intervention),,1427538,
Hawaii,2018,All Firearm Deaths,59,1420491,4.044750213623047
Hawaii,2018,Firearm Suicide,30,1420491,1.92469
Hawaii,2018,Firearm Homicide (including Legal Intervention),26,1420491,1.95582
Hawaii,2019,All Firearm Deaths,62,1415872,4.4233598709106445
Hawaii,2019,Firearm Suicide,41,1415872,2.81296
Hawaii,2019,Firearm Homicide (including Legal Intervention),20,1415872,1.51944
Hawaii,2020,All Firearm Deaths,50,1407006,3.3735098838806152
Hawaii,2020,Firearm Suicide,31,1407006,2.05231
Hawaii,2020,Firearm Homicide (including Legal Intervention),17,1407006,
Idaho,2011,All Firearm Deaths,192,1584985,12.277070045471191
Idaho,2011,Firearm Suicide,167,1584985,10.74325
Idaho,2011,Firearm Homicide (including Legal Intervention),18,1584985,
Idaho,2012,All Firearm Deaths,207,1595728,13.018110275268555
Idaho,2012,Firearm Suicide,176,1595728,11.05178
Idaho,2012,Firearm Homicide (including Legal Intervention),22,1595728,1.42442
Idaho,2013,All Firearm Deaths,227,1612136,14.107080459594727
Idaho,2013,Firearm Suicide,200,1612136,12.38084
Idaho,2013,Firearm Homicide (including Legal Intervention),17,1612136,
Idaho,2014,All Firearm Deaths,213,1634464,13.178370475769043
Idaho,2014,Firearm Suicide,182,1634464,11.08542
Idaho,2014,Firearm Homicide (including Legal Intervention),25,1634464,1.67959
Idaho,2015,All Firearm Deaths,247,1654930,14.73324966430664
Idaho,2015,Firearm Suicide,215,1654930,12.84396
Idaho,2015,Firearm Homicide (including Legal Intervention),26,1654930,1.54512
Idaho,2016,All Firearm Deaths,242,1683140,14.61913013458252
Idaho,2016,Firearm Suicide,215,1683140,12.83115
Idaho,2016,Firearm Homicide (including Legal Intervention),21,1683140,1.43832
Idaho,2017,All Firearm Deaths,280,1716943,16.413740158081055
Idaho,2017,Firearm Suicide,244,1716943,14.18561
Idaho,2017,Firearm Homicide (including Legal Intervention),30,1716943,1.86335
Idaho,2018,All Firearm Deaths,294,1754208,16.64080047607422
Idaho,2018,Firearm Suicide,250,1754208,14.0057
Idaho,2018,Firearm Homicide (including Legal Intervention),38,1754208,2.27929
Idaho,2019,All Firearm Deaths,255,1787065,14.201080322265625
Idaho,2019,Firearm Suicide,223,1787065,12.24713
Idaho,2019,Firearm Homicide (including Legal Intervention),25,1787065,1.59253
Idaho,2020,All Firearm Deaths,321,1826913,17.57221031188965
Idaho,2020,Firearm Suicide,277,1826913,15.06917
Idaho,2020,Firearm Homicide (including Legal Intervention),35,1826913,2.02056
Illinois,2011,All Firearm Deaths,1114,12869257,8.564749717712402
Illinois,2011,Firearm Suicide,461,12869257,3.47967
Illinois,2011,Firearm Homicide (including Legal Intervention),627,12869257,4.91529
Illinois,2012,All Firearm Deaths,1178,12875255,9.051289558410645
Illinois,2012,Firearm Suicide,490,12875255,3.66966
Illinois,2012,Firearm Homicide (including Legal Intervention),659,12875255,5.17957
Illinois,2013,All Firearm Deaths,1117,12882135,8.571040153503418
Illinois,2013,Firearm Suicide,496,12882135,3.64477
Illinois,2013,Firearm Homicide (including Legal Intervention),592,12882135,4.67943
Illinois,2014,All Firearm Deaths,1179,12880580,9.045479774475098
Illinois,2014,Firearm Suicide,533,12880580,3.95762
Illinois,2014,Firearm Homicide (including Legal Intervention),624,12880580,4.93976
Illinois,2015,All Firearm Deaths,1220,12859995,9.455320358276367
Illinois,2015,Firearm Suicide,495,12859995,3.67275
Illinois,2015,Firearm Homicide (including Legal Intervention),703,12859995,5.60174
Illinois,2016,All Firearm Deaths,1490,12801539,11.658980369567871
Illinois,2016,Firearm Suicide,506,12801539,3.71944
Illinois,2016,Firearm Homicide (including Legal Intervention),960,12801539,7.7678
Illinois,2017,All Firearm Deaths,1543,12802023,12.118680000305176
Illinois,2017,Firearm Suicide,577,12802023,4.28051
Illinois,2017,Firearm Homicide (including Legal Intervention),944,12802023,7.67658
Illinois,2018,All Firearm Deaths,1382,12741080,10.863089561462402
Illinois,2018,Firearm Suicide,573,12741080,4.22112
Illinois,2018,Firearm Homicide (including Legal Intervention),793,12741080,6.4898
Illinois,2019,All Firearm Deaths,1367,12671821,10.842060089111328
Illinois,2019,Firearm Suicide,540,12671821,3.95943
Illinois,2019,Firearm Homicide (including Legal Intervention),796,12671821,6.61396
Illinois,2020,All Firearm Deaths,1745,12587530,14.065589904785156
Illinois,2020,Firearm Suicide,543,12587530,4.05378
Illinois,2020,Firearm Homicide (including Legal Intervention),1176,12587530,9.79571
Indiana,2011,All Firearm Deaths,638,6516922,9.697099685668945
Indiana,2011,Firearm Suicide,411,6516922,6.14047
Indiana,2011,Firearm Homicide (including Legal Intervention),212,6516922,3.32637
Indiana,2012,All Firearm Deaths,800,6537334,12.211079597473145
Indiana,2012,Firearm Suicide,513,6537334,7.65017
Indiana,2012,Firearm Homicide (including Legal Intervention),264,6537334,4.19606
Indiana,2013,All Firearm Deaths,857,6570902,12.995479583740234
Indiana,2013,Firearm Suicide,523,6570902,7.76955
Indiana,2013,Firearm Homicide (including Legal Intervention),313,6570902,4.89873
Indiana,2014,All Firearm Deaths,818,6596855,12.375699996948242
Indiana,2014,Firearm Suicide,528,6596855,7.82678
Indiana,2014,Firearm Homicide (including Legal Intervention),268,6596855,4.18243
